generator,Capacity_MW
cec23_1212,0.0
cec23_1213,0.0
cec23_1214,0.0
cec23_1215,0.0
cec23_1216,0.0
cec23_1217,0.0
cec23_1218,0.0
cec23_1219,0.0
cec23_1220,0.0
cec23_1221,0.0
cec23_1222,0.0
cec23_1223,0.0
cec23_1224,0.0
cec23_1225,0.0
cec23_1226,0.0
cec23_1227,0.0
cec23_1228,0.0
cec23_1229,0.0
cec23_1230,0.0
cec23_1231,0.0
cec23_1232,0.0
cec23_1233,0.0
cec23_1234,0.0
cec23_1235,0.0
cec23_1236,0.0
cec23_1237,0.0
cats_1,71.2
cats_2,233.0
cats_3,233.0
cats_4,233.0
cats_5,233.0
cats_6,233.0
cats_7,233.0
cats_8,310.0
cats_9,310.0
cats_10,495.0
cats_11,218.0
cats_12,63.0
cats_13,63.0
cats_14,63.0
cats_15,63.0
cats_16,806.0
cats_17,806.0
cats_18,163.2
cats_19,163.2
cats_20,495.0
cats_21,164.6
cats_22,164.6
cats_23,189.2
cats_24,164.6
cats_25,164.6
cats_26,189.2
cats_27,20.0
cats_28,20.0
cats_29,50.0
cats_30,50.0
cats_31,25.4
cats_32,55.1
cats_33,57.4
cats_34,34.5
cats_35,89.9
cats_36,65.9
cats_37,43.2
cats_38,43.2
cats_39,81.6
cats_40,85.3
cats_41,85.3
cats_42,75.0
cats_43,60.5
cats_44,60.5
cats_45,60.5
cats_46,60.5
cats_47,60.5
cats_48,230.0
cats_49,182.8
cats_50,108.2
cats_51,108.2
cats_52,108.2
cats_53,108.2
cats_54,108.2
cats_55,108.2
cats_56,230.0
cats_57,264.3
cats_58,182.8
cats_59,163.2
cats_60,163.2
cats_61,216.9
cats_62,118.9
cats_63,106.9
cats_64,106.9
cats_65,60.5
cats_66,182.8
cats_67,182.8
cats_68,264.4
cats_69,28.8
cats_70,28.8
cats_71,60.5
cats_72,60.5
cats_73,71.0
cats_74,16.0
cats_75,77.0
cats_76,24.9
cats_77,24.9
cats_78,23.1
cats_79,23.1
cats_80,23.1
cats_81,23.1
cats_82,32.3
cats_83,32.3
cats_84,3.9
cats_85,3.9
cats_86,37.7
cats_87,60.5
cats_88,8.4
cats_89,8.4
cats_90,8.4
cats_91,8.4
cats_92,8.4
cats_93,8.4
cats_94,50.4
cats_95,18.0
cats_96,27.9
cats_97,27.9
cats_98,26.8
cats_99,40.0
cats_100,42.5
cats_101,49.5
cats_102,58.0
cats_103,58.0
cats_104,58.0
cats_105,50.0
cats_106,27.4
cats_107,27.4
cats_108,54.0
cats_109,17.5
cats_110,54.0
cats_111,49.8
cats_112,49.8
cats_113,49.8
cats_114,44.0
cats_115,118.7
cats_116,55.2
cats_117,24.9
cats_118,60.5
cats_119,58.0
cats_120,90.0
cats_121,40.0
cats_122,3.5
cats_123,4.5
cats_124,4.8
cats_125,5.2
cats_126,5.2
cats_127,42.4
