name,bus_type,kron_removable_bus,base_voltage_kV,base_power_MVA
280,PQ,false,115.0,100.0
281,PQ,false,115.0,100.0
282,PV,false,115.0,100.0
283,PQ,false,115.0,100.0
284,PV,false,66.0,100.0
285,PV,false,66.0,100.0
286,PV,false,66.0,100.0
287,PQ,false,66.0,100.0
288,PV,false,66.0,100.0
289,PV,false,66.0,100.0
290,PQ,false,66.0,100.0
291,PQ,false,66.0,100.0
292,PQ,false,230.0,100.0
293,PQ,false,66.0,100.0
294,PQ,false,66.0,100.0
295,PV,false,66.0,100.0
296,PQ,false,66.0,100.0
297,PQ,false,66.0,100.0
298,PQ,false,66.0,100.0
299,PQ,false,66.0,100.0
300,PV,false,66.0,100.0
301,PQ,false,66.0,100.0
302,PV,false,66.0,100.0
303,PV,false,230.0,100.0
304,PV,false,66.0,100.0
305,PQ,false,230.0,100.0
306,PQ,false,66.0,100.0
307,PQ,false,115.0,100.0
308,PV,false,66.0,100.0
309,PV,false,115.0,100.0
310,PQ,false,66.0,100.0
311,PQ,false,66.0,100.0
312,PQ,false,66.0,100.0
313,PQ,false,66.0,100.0
314,PQ,false,66.0,100.0
315,PQ,false,66.0,100.0
316,PQ,false,66.0,100.0
317,PV,false,66.0,100.0
318,PV,false,115.0,100.0
319,PV,false,66.0,100.0
320,PQ,false,66.0,100.0
321,PQ,false,66.0,100.0
322,PV,false,66.0,100.0
323,PQ,false,66.0,100.0
324,PQ,false,66.0,100.0
325,PQ,false,66.0,100.0
326,PV,false,66.0,100.0
327,PQ,false,66.0,100.0
328,PQ,false,66.0,100.0
329,PQ,false,66.0,100.0
330,PQ,false,115.0,100.0
331,PQ,false,115.0,100.0
332,PQ,false,66.0,100.0
333,PV,false,66.0,100.0
334,PQ,false,66.0,100.0
335,PQ,false,66.0,100.0
336,PQ,false,66.0,100.0
337,PQ,false,66.0,100.0
338,PQ,false,66.0,100.0
339,PV,false,66.0,100.0
340,PQ,false,66.0,100.0
341,PV,false,66.0,100.0
342,PV,false,66.0,100.0
343,PQ,false,66.0,100.0
344,PV,false,66.0,100.0
345,PQ,false,230.0,100.0
346,PV,false,66.0,100.0
347,PV,false,230.0,100.0
348,PV,false,230.0,100.0
349,PQ,false,230.0,100.0
350,PV,false,66.0,100.0
351,PV,false,66.0,100.0
352,PQ,false,66.0,100.0
353,PQ,false,66.0,100.0
354,PV,false,66.0,100.0
355,PQ,false,66.0,100.0
356,PQ,false,66.0,100.0
357,PQ,false,66.0,100.0
358,PQ,false,66.0,100.0
359,PQ,false,66.0,100.0
360,PV,false,66.0,100.0
361,PQ,false,115.0,100.0
362,PQ,false,66.0,100.0
363,PV,false,230.0,100.0
364,PQ,false,66.0,100.0
365,PQ,false,66.0,100.0
366,PQ,false,66.0,100.0
367,PV,false,66.0,100.0
368,PQ,false,66.0,100.0
369,PQ,false,66.0,100.0
370,PQ,false,66.0,100.0
371,PV,false,66.0,100.0
372,PQ,false,66.0,100.0
373,PQ,false,66.0,100.0
374,PQ,false,66.0,100.0
375,PQ,false,66.0,100.0
376,PQ,false,66.0,100.0
377,PV,false,66.0,100.0
378,PQ,false,66.0,100.0
379,PQ,false,66.0,100.0
380,PQ,false,66.0,100.0
381,PQ,false,66.0,100.0
382,PQ,false,66.0,100.0
383,PQ,false,66.0,100.0
384,PV,false,66.0,100.0
385,PV,false,66.0,100.0
386,PQ,false,66.0,100.0
387,PQ,false,66.0,100.0
388,PQ,false,66.0,100.0
389,PQ,false,66.0,100.0
390,PQ,false,66.0,100.0
391,PQ,false,66.0,100.0
392,PQ,false,66.0,100.0
393,PV,false,66.0,100.0
394,PV,false,66.0,100.0
