scenario,bus,timepoint,load_MW
climate_1,1814,2035-01-01T23:00:00.000000-0800,21.758689378556536
climate_1,518,2035-01-01T09:00:00.000000-0800,92.31757888624065
climate_1,8076,2035-01-01T18:00:00.000000-0800,6.349164243200778
climate_1,476,2035-01-01T08:00:00.000000-0800,14.21284902851793
climate_1,1477,2035-01-01T20:00:00.000000-0800,4.472987952797973
climate_1,8343,2035-01-01T20:00:00.000000-0800,1.6513492669422394
climate_1,1648,2035-01-01T10:00:00.000000-0800,1.5701267
climate_1,8398,2035-01-01T21:00:00.000000-0800,0.25216603
climate_1,568,2035-01-01T23:00:00.000000-0800,6.008161118174675
climate_1,499,2035-01-01T13:00:00.000000-0800,32.74565746370059
climate_1,1006,2035-01-01T11:00:00.000000-0800,69.96397714405485
climate_1,7844,2035-01-01T13:00:00.000000-0800,46.3547528844337
climate_1,7787,2035-01-01T18:00:00.000000-0800,0.4891500495352938
climate_1,267,2035-01-01T08:00:00.000000-0800,17.843494593562067
climate_1,759,2035-01-01T06:00:00.000000-0800,6.5300949476370125
climate_1,1821,2035-01-01T17:00:00.000000-0800,20.84226768867818
climate_1,571,2035-01-01T05:00:00.000000-0800,0.23570131000000002
climate_1,618,2035-01-01T17:00:00.000000-0800,1.656121218894747
climate_1,645,2035-01-01T08:00:00.000000-0800,21.87113080222302
climate_1,8395,2035-01-01T15:00:00.000000-0800,10.125850194124
climate_1,762,2035-01-01T01:00:00.000000-0800,0.8924615004355275
climate_1,8131,2035-01-01T18:00:00.000000-0800,7.19597381837217
climate_1,919,2035-01-01T07:00:00.000000-0800,2.0680989
climate_1,1966,2035-01-01T02:00:00.000000-0800,5.551443543104322
climate_1,2298,2035-01-01T01:00:00.000000-0800,2.1309961801598662
climate_1,1347,2035-01-01T13:00:00.000000-0800,24.406956613232
climate_1,1606,2035-01-01T21:00:00.000000-0800,3.7669660894483457
climate_1,1457,2035-01-01T22:00:00.000000-0800,7.680721781005602
climate_1,653,2035-01-01T08:00:00.000000-0800,3.3472261176685407
climate_1,1490,2035-01-01T10:00:00.000000-0800,0.45970145
climate_1,585,2035-01-01T06:00:00.000000-0800,5.968848267001192
climate_1,1255,2035-01-01T15:00:00.000000-0800,52.21518626791415
climate_1,90,2035-01-01T04:00:00.000000-0800,9.682559572694668
climate_1,2263,2035-01-01T01:00:00.000000-0800,0.6059963
climate_1,1993,2035-01-01T13:00:00.000000-0800,36.89190294154251
climate_1,782,2035-01-01T15:00:00.000000-0800,11.051746304598982
climate_1,911,2035-01-01T08:00:00.000000-0800,3.491587089710674
climate_1,8497,2035-01-01T17:00:00.000000-0800,22.97044023623079
climate_1,392,2035-01-01T18:00:00.000000-0800,12.800144794581048
climate_1,581,2035-01-01T01:00:00.000000-0800,22.201654571649406
climate_1,2360,2035-01-01T06:00:00.000000-0800,2.17722696
climate_1,2315,2035-01-01T06:00:00.000000-0800,16.918364297539533
climate_1,688,2035-01-01T19:00:00.000000-0800,18.902652047455323
climate_1,1102,2035-01-01T23:00:00.000000-0800,8.276733116627714
climate_1,1451,2035-01-01T08:00:00.000000-0800,4.884515235621411
climate_1,1461,2035-01-01T04:00:00.000000-0800,8.9357696715152
climate_1,462,2035-01-01T05:00:00.000000-0800,27.44109277033659
climate_1,7788,2035-01-01T07:00:00.000000-0800,29.10057968541144
climate_1,8252,2035-01-01T00:00:00.000000-0800,25.62235140324028
climate_1,8367,2035-01-01T11:00:00.000000-0800,6.247843434286251
climate_1,1620,2035-01-01T10:00:00.000000-0800,12.798868
climate_1,1748,2035-01-01T15:00:00.000000-0800,0.20515810871677012
climate_1,8455,2035-01-01T07:00:00.000000-0800,4.982185793832692
climate_1,8581,2035-01-01T15:00:00.000000-0800,4.778237988396034
climate_1,159,2035-01-01T02:00:00.000000-0800,0.1128214428932754
climate_1,1025,2035-01-01T21:00:00.000000-0800,21.153488166048177
climate_1,1035,2035-01-01T04:00:00.000000-0800,12.783116392253586
climate_1,2014,2035-01-01T19:00:00.000000-0800,0.5184339
climate_1,7840,2035-01-01T02:00:00.000000-0800,0.2729630290679107
climate_1,360,2035-01-01T16:00:00.000000-0800,5.295365702637768
climate_1,8648,2035-01-01T22:00:00.000000-0800,1.204617752723795
climate_1,1577,2035-01-01T04:00:00.000000-0800,6.47086925039065
climate_1,2330,2035-01-01T23:00:00.000000-0800,0.1492417
climate_1,2031,2035-01-01T22:00:00.000000-0800,23.90790342267007
climate_1,283,2035-01-01T22:00:00.000000-0800,26.8180874631144
climate_1,2346,2035-01-01T00:00:00.000000-0800,9.252529941493224
climate_1,1946,2035-01-01T04:00:00.000000-0800,1.43830557178625
climate_1,2253,2035-01-01T22:00:00.000000-0800,6.325186828892785
climate_1,8569,2035-01-01T20:00:00.000000-0800,5.586968897334823
climate_1,975,2035-01-01T13:00:00.000000-0800,4.988996602886371
climate_1,476,2035-01-01T04:00:00.000000-0800,12.644484953209732
climate_1,2128,2035-01-01T04:00:00.000000-0800,10.320073730540106
climate_1,2351,2035-01-01T16:00:00.000000-0800,1.2372576
climate_1,824,2035-01-01T13:00:00.000000-0800,3.4849621
climate_1,1610,2035-01-01T10:00:00.000000-0800,19.744318539675756
climate_1,8793,2035-01-01T10:00:00.000000-0800,20.83450837268088
climate_1,165,2035-01-01T09:00:00.000000-0800,0.46131177
climate_1,1157,2035-01-01T09:00:00.000000-0800,2.8242214
climate_1,1843,2035-01-01T22:00:00.000000-0800,6.221281104025055
climate_1,617,2035-01-01T20:00:00.000000-0800,0.89632214
climate_1,2361,2035-01-01T16:00:00.000000-0800,0.5668997000000001
climate_1,389,2035-01-01T03:00:00.000000-0800,20.667146281621392
climate_1,1817,2035-01-01T00:00:00.000000-0800,0.3206251002066741
climate_1,1696,2035-01-01T05:00:00.000000-0800,144.4639023359549
climate_1,2212,2035-01-01T18:00:00.000000-0800,4.786570103055022
climate_1,301,2035-01-01T16:00:00.000000-0800,2.50381096858052
climate_1,1330,2035-01-01T17:00:00.000000-0800,15.699005684485321
climate_1,7696,2035-01-01T23:00:00.000000-0800,16.0137093218364
