generator,scenario,timepoint,Dispatch_MW
cats_596,1,2035-01-01T00:00:00.000000-0800,7.433300000000001
cats_597,1,2035-01-01T00:00:00.000000-0800,2.4681999999999995
cats_598,1,2035-01-01T00:00:00.000000-0800,5.535
cats_599,1,2035-01-01T00:00:00.000000-0800,6.6419999999999995
cats_600,1,2035-01-01T00:00:00.000000-0800,0.0
cats_601,1,2035-01-01T00:00:00.000000-0800,0.0
cats_602,1,2035-01-01T00:00:00.000000-0800,0.0
cats_603,1,2035-01-01T00:00:00.000000-0800,0.0
cats_604,1,2035-01-01T00:00:00.000000-0800,0.0
cats_605,1,2035-01-01T00:00:00.000000-0800,0.0
cats_606,1,2035-01-01T00:00:00.000000-0800,0.0
cats_607,1,2035-01-01T00:00:00.000000-0800,0.0
cats_608,1,2035-01-01T00:00:00.000000-0800,0.0
cats_609,1,2035-01-01T00:00:00.000000-0800,0.0
cats_610,1,2035-01-01T00:00:00.000000-0800,0.0
cats_611,1,2035-01-01T00:00:00.000000-0800,0.0
cats_612,1,2035-01-01T00:00:00.000000-0800,0.0
cats_613,1,2035-01-01T00:00:00.000000-0800,0.5814
cats_614,1,2035-01-01T00:00:00.000000-0800,0.5814
cats_615,1,2035-01-01T00:00:00.000000-0800,0.25
cats_616,1,2035-01-01T00:00:00.000000-0800,0.44999999999999996
cats_617,1,2035-01-01T00:00:00.000000-0800,0.0
cats_618,1,2035-01-01T00:00:00.000000-0800,0.0
cats_619,1,2035-01-01T00:00:00.000000-0800,0.0
cats_620,1,2035-01-01T00:00:00.000000-0800,0.0
cats_621,1,2035-01-01T00:00:00.000000-0800,0.0
cats_622,1,2035-01-01T00:00:00.000000-0800,0.0
cats_623,1,2035-01-01T00:00:00.000000-0800,0.0
cats_624,1,2035-01-01T00:00:00.000000-0800,0.0
cats_625,1,2035-01-01T00:00:00.000000-0800,0.0
cats_626,1,2035-01-01T00:00:00.000000-0800,0.0
cats_627,1,2035-01-01T00:00:00.000000-0800,0.0
cats_628,1,2035-01-01T00:00:00.000000-0800,0.0
cats_629,1,2035-01-01T00:00:00.000000-0800,0.0
cats_630,1,2035-01-01T00:00:00.000000-0800,0.0
cats_631,1,2035-01-01T00:00:00.000000-0800,0.253
cats_632,1,2035-01-01T00:00:00.000000-0800,1.4167999999999998
cats_755,1,2035-01-01T00:00:00.000000-0800,0.0
cats_756,1,2035-01-01T00:00:00.000000-0800,0.0
cats_757,1,2035-01-01T00:00:00.000000-0800,0.0
cats_758,1,2035-01-01T00:00:00.000000-0800,0.0
cats_759,1,2035-01-01T00:00:00.000000-0800,0.0
cats_760,1,2035-01-01T00:00:00.000000-0800,0.0
cats_761,1,2035-01-01T00:00:00.000000-0800,0.0
cats_762,1,2035-01-01T00:00:00.000000-0800,0.0
cats_763,1,2035-01-01T00:00:00.000000-0800,0.0
cats_764,1,2035-01-01T00:00:00.000000-0800,0.0
cats_765,1,2035-01-01T00:00:00.000000-0800,0.0
cats_766,1,2035-01-01T00:00:00.000000-0800,0.0
cats_767,1,2035-01-01T00:00:00.000000-0800,0.0
cats_768,1,2035-01-01T00:00:00.000000-0800,0.0
cats_769,1,2035-01-01T00:00:00.000000-0800,0.0
cats_770,1,2035-01-01T00:00:00.000000-0800,0.0
cats_771,1,2035-01-01T00:00:00.000000-0800,0.0
cats_772,1,2035-01-01T00:00:00.000000-0800,0.0
cats_773,1,2035-01-01T00:00:00.000000-0800,0.0
cats_774,1,2035-01-01T00:00:00.000000-0800,0.0
cats_775,1,2035-01-01T00:00:00.000000-0800,0.0
cats_776,1,2035-01-01T00:00:00.000000-0800,0.0
cats_777,1,2035-01-01T00:00:00.000000-0800,0.0
cats_778,1,2035-01-01T00:00:00.000000-0800,0.0
cats_779,1,2035-01-01T00:00:00.000000-0800,0.0
cats_780,1,2035-01-01T00:00:00.000000-0800,0.0
cats_781,1,2035-01-01T00:00:00.000000-0800,0.0
cats_782,1,2035-01-01T00:00:00.000000-0800,0.0
cats_783,1,2035-01-01T00:00:00.000000-0800,0.0
cats_784,1,2035-01-01T00:00:00.000000-0800,0.0
cats_785,1,2035-01-01T00:00:00.000000-0800,0.0
cats_786,1,2035-01-01T00:00:00.000000-0800,0.0
cats_787,1,2035-01-01T00:00:00.000000-0800,0.0
cats_788,1,2035-01-01T00:00:00.000000-0800,0.0
cats_789,1,2035-01-01T00:00:00.000000-0800,0.0
cats_790,1,2035-01-01T00:00:00.000000-0800,0.0
cats_791,1,2035-01-01T00:00:00.000000-0800,0.0
cats_792,1,2035-01-01T00:00:00.000000-0800,0.0
cats_793,1,2035-01-01T00:00:00.000000-0800,0.0
cats_794,1,2035-01-01T00:00:00.000000-0800,0.0
cats_795,1,2035-01-01T00:00:00.000000-0800,0.0
cats_796,1,2035-01-01T00:00:00.000000-0800,0.0
cats_797,1,2035-01-01T00:00:00.000000-0800,0.0
cats_798,1,2035-01-01T00:00:00.000000-0800,0.0
cats_799,1,2035-01-01T00:00:00.000000-0800,0.0
cats_800,1,2035-01-01T00:00:00.000000-0800,0.0
cats_801,1,2035-01-01T00:00:00.000000-0800,0.0
cats_802,1,2035-01-01T00:00:00.000000-0800,0.0
cats_803,1,2035-01-01T00:00:00.000000-0800,0.0
cats_804,1,2035-01-01T00:00:00.000000-0800,0.0
cats_805,1,2035-01-01T00:00:00.000000-0800,0.0
cats_806,1,2035-01-01T00:00:00.000000-0800,0.0
cats_807,1,2035-01-01T00:00:00.000000-0800,0.0
cats_808,1,2035-01-01T00:00:00.000000-0800,0.0
cats_809,1,2035-01-01T00:00:00.000000-0800,0.0
cats_810,1,2035-01-01T00:00:00.000000-0800,0.0
cats_811,1,2035-01-01T00:00:00.000000-0800,0.0
cats_812,1,2035-01-01T00:00:00.000000-0800,0.0
cats_813,1,2035-01-01T00:00:00.000000-0800,0.0
cats_814,1,2035-01-01T00:00:00.000000-0800,0.0
cats_815,1,2035-01-01T00:00:00.000000-0800,0.0
cats_816,1,2035-01-01T00:00:00.000000-0800,0.0
cats_817,1,2035-01-01T00:00:00.000000-0800,0.0
cats_818,1,2035-01-01T00:00:00.000000-0800,0.0
cats_819,1,2035-01-01T00:00:00.000000-0800,0.0
cats_820,1,2035-01-01T00:00:00.000000-0800,0.0
cats_821,1,2035-01-01T00:00:00.000000-0800,0.0
cats_822,1,2035-01-01T00:00:00.000000-0800,0.0
cats_823,1,2035-01-01T00:00:00.000000-0800,0.0
cats_824,1,2035-01-01T00:00:00.000000-0800,0.0
cats_825,1,2035-01-01T00:00:00.000000-0800,0.0
cats_826,1,2035-01-01T00:00:00.000000-0800,0.0
cats_827,1,2035-01-01T00:00:00.000000-0800,0.0
cats_828,1,2035-01-01T00:00:00.000000-0800,0.0
cats_829,1,2035-01-01T00:00:00.000000-0800,0.0
cats_830,1,2035-01-01T00:00:00.000000-0800,0.0
cats_831,1,2035-01-01T00:00:00.000000-0800,0.0
cats_832,1,2035-01-01T00:00:00.000000-0800,0.0
cats_833,1,2035-01-01T00:00:00.000000-0800,0.0
cats_834,1,2035-01-01T00:00:00.000000-0800,0.0
cats_835,1,2035-01-01T00:00:00.000000-0800,0.0
cats_836,1,2035-01-01T00:00:00.000000-0800,0.0
cats_837,1,2035-01-01T00:00:00.000000-0800,0.0
cats_838,1,2035-01-01T00:00:00.000000-0800,0.0
cats_839,1,2035-01-01T00:00:00.000000-0800,0.0
cats_840,1,2035-01-01T00:00:00.000000-0800,0.0
cats_841,1,2035-01-01T00:00:00.000000-0800,0.0
cats_842,1,2035-01-01T00:00:00.000000-0800,0.0
cats_843,1,2035-01-01T00:00:00.000000-0800,0.0
cats_844,1,2035-01-01T00:00:00.000000-0800,0.0
cats_845,1,2035-01-01T00:00:00.000000-0800,0.0
cats_846,1,2035-01-01T00:00:00.000000-0800,0.0
cats_847,1,2035-01-01T00:00:00.000000-0800,0.0
cats_848,1,2035-01-01T00:00:00.000000-0800,0.0
cats_849,1,2035-01-01T00:00:00.000000-0800,0.0
cats_850,1,2035-01-01T00:00:00.000000-0800,0.0
cats_851,1,2035-01-01T00:00:00.000000-0800,0.0
cats_852,1,2035-01-01T00:00:00.000000-0800,0.0
cats_853,1,2035-01-01T00:00:00.000000-0800,0.0
cats_854,1,2035-01-01T00:00:00.000000-0800,0.0
cats_855,1,2035-01-01T00:00:00.000000-0800,0.0
cats_856,1,2035-01-01T00:00:00.000000-0800,0.0
cats_857,1,2035-01-01T00:00:00.000000-0800,0.0
cats_858,1,2035-01-01T00:00:00.000000-0800,0.0
cats_859,1,2035-01-01T00:00:00.000000-0800,0.0
cats_860,1,2035-01-01T00:00:00.000000-0800,0.0
cats_861,1,2035-01-01T00:00:00.000000-0800,0.0
