generator,timepoint,Dispatch_MW
cec23_786,2035-01-01T06:00:00.000000-0800,0.0
cec23_786,2035-01-01T07:00:00.000000-0800,0.0
cec23_786,2035-01-01T08:00:00.000000-0800,0.0
cec23_786,2035-01-01T09:00:00.000000-0800,0.0
cec23_786,2035-01-01T10:00:00.000000-0800,0.0
cec23_786,2035-01-01T11:00:00.000000-0800,0.0
cec23_786,2035-01-01T12:00:00.000000-0800,0.0
cec23_786,2035-01-01T13:00:00.000000-0800,0.0
cec23_786,2035-01-01T14:00:00.000000-0800,-1.1163546436043615e-15
cec23_786,2035-01-01T15:00:00.000000-0800,0.0
cec23_786,2035-01-01T16:00:00.000000-0800,0.0
cec23_786,2035-01-01T17:00:00.000000-0800,0.0
cec23_786,2035-01-01T18:00:00.000000-0800,0.0
cec23_786,2035-01-01T19:00:00.000000-0800,0.0
cec23_786,2035-01-01T20:00:00.000000-0800,0.0
cec23_786,2035-01-01T21:00:00.000000-0800,0.0
cec23_786,2035-01-01T22:00:00.000000-0800,0.0
cec23_786,2035-01-01T23:00:00.000000-0800,0.0
cec23_787,2035-01-01T00:00:00.000000-0800,0.0
cec23_787,2035-01-01T01:00:00.000000-0800,5.81288827319456e-16
cec23_787,2035-01-01T02:00:00.000000-0800,-2.8171909249863347e-15
cec23_787,2035-01-01T03:00:00.000000-0800,-1.5293634216443256e-15
cec23_787,2035-01-01T04:00:00.000000-0800,-1.695053415811091e-15
cec23_787,2035-01-01T05:00:00.000000-0800,-1.3789573296824862e-15
cec23_787,2035-01-01T06:00:00.000000-0800,-7.589965911163144e-16
cec23_787,2035-01-01T07:00:00.000000-0800,1.0045736167560168e-15
cec23_787,2035-01-01T08:00:00.000000-0800,-1.5538102748097424e-16
cec23_787,2035-01-01T09:00:00.000000-0800,5.792464455951687e-16
cec23_787,2035-01-01T10:00:00.000000-0800,2.13475342004249e-15
cec23_787,2035-01-01T11:00:00.000000-0800,0.0
cec23_787,2035-01-01T12:00:00.000000-0800,3.877622070719213e-16
cec23_787,2035-01-01T13:00:00.000000-0800,1.4649090053883812e-15
cec23_787,2035-01-01T14:00:00.000000-0800,-2.377467958221131e-16
cec23_787,2035-01-01T15:00:00.000000-0800,-1.0392682062167418e-15
cec23_787,2035-01-01T16:00:00.000000-0800,-4.983555336687669e-16
cec23_787,2035-01-01T17:00:00.000000-0800,-5.690878768883519e-15
cec23_787,2035-01-01T18:00:00.000000-0800,-1.033831664211133e-15
cec23_787,2035-01-01T19:00:00.000000-0800,-5.141851441291509e-15
cec23_787,2035-01-01T20:00:00.000000-0800,-1.7472373355987502e-15
cec23_787,2035-01-01T21:00:00.000000-0800,-3.090744748251868e-15
cec23_787,2035-01-01T22:00:00.000000-0800,-2.696868048561734e-15
cec23_787,2035-01-01T23:00:00.000000-0800,-3.1013587923824583e-16
cec23_788,2035-01-01T00:00:00.000000-0800,0.0
cec23_788,2035-01-01T01:00:00.000000-0800,0.0
cec23_788,2035-01-01T02:00:00.000000-0800,0.0
cec23_788,2035-01-01T03:00:00.000000-0800,0.0
cec23_788,2035-01-01T04:00:00.000000-0800,0.0
cec23_788,2035-01-01T05:00:00.000000-0800,0.0
cec23_788,2035-01-01T06:00:00.000000-0800,0.0
cec23_788,2035-01-01T07:00:00.000000-0800,0.0
cec23_788,2035-01-01T08:00:00.000000-0800,0.0
cec23_788,2035-01-01T09:00:00.000000-0800,0.0
cec23_788,2035-01-01T10:00:00.000000-0800,0.0
cec23_788,2035-01-01T11:00:00.000000-0800,0.0
cec23_788,2035-01-01T12:00:00.000000-0800,0.0
cec23_788,2035-01-01T13:00:00.000000-0800,0.0
cec23_788,2035-01-01T14:00:00.000000-0800,0.0
cec23_788,2035-01-01T15:00:00.000000-0800,0.0
cec23_788,2035-01-01T16:00:00.000000-0800,0.0
cec23_788,2035-01-01T17:00:00.000000-0800,0.0
cec23_788,2035-01-01T18:00:00.000000-0800,0.0
cec23_788,2035-01-01T19:00:00.000000-0800,0.0
cec23_788,2035-01-01T20:00:00.000000-0800,0.0
cec23_788,2035-01-01T21:00:00.000000-0800,0.0
cec23_788,2035-01-01T22:00:00.000000-0800,0.0
cec23_788,2035-01-01T23:00:00.000000-0800,0.0
cec23_789,2035-01-01T00:00:00.000000-0800,0.0
cec23_789,2035-01-01T01:00:00.000000-0800,0.0
cec23_789,2035-01-01T02:00:00.000000-0800,0.0
cec23_789,2035-01-01T03:00:00.000000-0800,0.0
cec23_789,2035-01-01T04:00:00.000000-0800,1.3877787807814457e-17
cec23_789,2035-01-01T05:00:00.000000-0800,0.0
cec23_789,2035-01-01T06:00:00.000000-0800,0.0
cec23_789,2035-01-01T07:00:00.000000-0800,0.0
cec23_789,2035-01-01T08:00:00.000000-0800,-5.421010862427522e-20
cec23_789,2035-01-01T09:00:00.000000-0800,0.0
cec23_789,2035-01-01T10:00:00.000000-0800,0.0
cec23_789,2035-01-01T11:00:00.000000-0800,0.0
cec23_789,2035-01-01T12:00:00.000000-0800,0.0
cec23_789,2035-01-01T13:00:00.000000-0800,0.0
cec23_789,2035-01-01T14:00:00.000000-0800,0.0
cec23_789,2035-01-01T15:00:00.000000-0800,0.0
cec23_789,2035-01-01T16:00:00.000000-0800,0.0
cec23_789,2035-01-01T17:00:00.000000-0800,0.0
cec23_789,2035-01-01T18:00:00.000000-0800,0.0
cec23_789,2035-01-01T19:00:00.000000-0800,0.0
cec23_789,2035-01-01T20:00:00.000000-0800,0.0
cec23_789,2035-01-01T21:00:00.000000-0800,0.0
cec23_789,2035-01-01T22:00:00.000000-0800,0.0
cec23_789,2035-01-01T23:00:00.000000-0800,0.0
cec23_790,2035-01-01T00:00:00.000000-0800,0.0
cec23_790,2035-01-01T01:00:00.000000-0800,0.0
cec23_790,2035-01-01T02:00:00.000000-0800,-1.308096842951127e-15
cec23_790,2035-01-01T03:00:00.000000-0800,3.4357552834168434e-15
cec23_790,2035-01-01T04:00:00.000000-0800,1.9875594226004267e-15
cec23_790,2035-01-01T05:00:00.000000-0800,-8.968165940451226e-16
cec23_790,2035-01-01T06:00:00.000000-0800,3.4146744002174723e-15
cec23_790,2035-01-01T07:00:00.000000-0800,0.0
cec23_790,2035-01-01T08:00:00.000000-0800,2.915937953185347e-15
cec23_790,2035-01-01T09:00:00.000000-0800,3.4418723369862323e-15
cec23_790,2035-01-01T10:00:00.000000-0800,-9.628918012281931e-16
cec23_790,2035-01-01T11:00:00.000000-0800,1.6991616447192825e-15
cec23_790,2035-01-01T12:00:00.000000-0800,-1.0694502466761235e-15
cec23_790,2035-01-01T13:00:00.000000-0800,-4.786684828887722e-16
cec23_790,2035-01-01T14:00:00.000000-0800,0.0
cec23_790,2035-01-01T15:00:00.000000-0800,0.0
cec23_790,2035-01-01T16:00:00.000000-0800,1.8847461333287812e-15
cec23_790,2035-01-01T17:00:00.000000-0800,4.165314687054323e-15
cec23_790,2035-01-01T18:00:00.000000-0800,0.0
cec23_790,2035-01-01T19:00:00.000000-0800,3.552713678800501e-15
cec23_790,2035-01-01T20:00:00.000000-0800,0.0
cec23_790,2035-01-01T21:00:00.000000-0800,-1.1567043877396548e-15
cec23_790,2035-01-01T22:00:00.000000-0800,-1.498802572169064e-15
cec23_790,2035-01-01T23:00:00.000000-0800,2.0313207577804995e-15
cec23_791,2035-01-01T00:00:00.000000-0800,0.0
cec23_791,2035-01-01T01:00:00.000000-0800,0.0
cec23_791,2035-01-01T02:00:00.000000-0800,0.0
cec23_791,2035-01-01T03:00:00.000000-0800,0.0
cec23_791,2035-01-01T04:00:00.000000-0800,0.0
cec23_791,2035-01-01T05:00:00.000000-0800,0.0
cec23_791,2035-01-01T06:00:00.000000-0800,0.0
cec23_791,2035-01-01T07:00:00.000000-0800,0.0
cec23_791,2035-01-01T08:00:00.000000-0800,0.0
cec23_791,2035-01-01T09:00:00.000000-0800,0.0
cec23_791,2035-01-01T10:00:00.000000-0800,0.0
cec23_791,2035-01-01T11:00:00.000000-0800,0.0
cec23_791,2035-01-01T12:00:00.000000-0800,0.0
cec23_791,2035-01-01T13:00:00.000000-0800,0.0
cec23_791,2035-01-01T14:00:00.000000-0800,0.0
cec23_791,2035-01-01T15:00:00.000000-0800,0.0
cec23_791,2035-01-01T16:00:00.000000-0800,0.0
cec23_791,2035-01-01T17:00:00.000000-0800,0.0
cec23_791,2035-01-01T18:00:00.000000-0800,0.0
cec23_791,2035-01-01T19:00:00.000000-0800,0.0
cec23_791,2035-01-01T20:00:00.000000-0800,0.0
cec23_791,2035-01-01T21:00:00.000000-0800,0.0
cec23_791,2035-01-01T22:00:00.000000-0800,0.0
cec23_791,2035-01-01T23:00:00.000000-0800,0.0
cec23_792,2035-01-01T00:00:00.000000-0800,0.0
cec23_792,2035-01-01T01:00:00.000000-0800,0.0
cec23_792,2035-01-01T02:00:00.000000-0800,0.0
cec23_792,2035-01-01T03:00:00.000000-0800,0.0
cec23_792,2035-01-01T04:00:00.000000-0800,0.0
cec23_792,2035-01-01T05:00:00.000000-0800,0.0
cec23_792,2035-01-01T06:00:00.000000-0800,0.0
cec23_792,2035-01-01T07:00:00.000000-0800,0.0
cec23_792,2035-01-01T08:00:00.000000-0800,0.0
cec23_792,2035-01-01T09:00:00.000000-0800,0.0
cec23_792,2035-01-01T10:00:00.000000-0800,0.0
cec23_792,2035-01-01T11:00:00.000000-0800,1.3234889800848443e-23
cec23_792,2035-01-01T12:00:00.000000-0800,0.0
cec23_792,2035-01-01T13:00:00.000000-0800,0.0
cec23_792,2035-01-01T14:00:00.000000-0800,0.0
cec23_792,2035-01-01T15:00:00.000000-0800,0.0
cec23_792,2035-01-01T16:00:00.000000-0800,0.0
cec23_792,2035-01-01T17:00:00.000000-0800,0.0
cec23_792,2035-01-01T18:00:00.000000-0800,0.0
cec23_792,2035-01-01T19:00:00.000000-0800,0.0
cec23_792,2035-01-01T20:00:00.000000-0800,0.0
cec23_792,2035-01-01T21:00:00.000000-0800,0.0
cec23_792,2035-01-01T22:00:00.000000-0800,0.0
cec23_792,2035-01-01T23:00:00.000000-0800,0.0
cec23_793,2035-01-01T00:00:00.000000-0800,0.0
cec23_793,2035-01-01T01:00:00.000000-0800,0.0
cec23_793,2035-01-01T02:00:00.000000-0800,0.0
cec23_793,2035-01-01T03:00:00.000000-0800,0.0
cec23_793,2035-01-01T04:00:00.000000-0800,0.0
cec23_793,2035-01-01T05:00:00.000000-0800,0.0
cec23_793,2035-01-01T06:00:00.000000-0800,0.0
cec23_793,2035-01-01T07:00:00.000000-0800,0.0
cec23_793,2035-01-01T08:00:00.000000-0800,0.0
cec23_793,2035-01-01T09:00:00.000000-0800,0.0
cec23_793,2035-01-01T10:00:00.000000-0800,0.0
cec23_793,2035-01-01T11:00:00.000000-0800,0.0
cec23_793,2035-01-01T12:00:00.000000-0800,0.0
cec23_793,2035-01-01T13:00:00.000000-0800,0.0
cec23_793,2035-01-01T14:00:00.000000-0800,0.0
cec23_793,2035-01-01T15:00:00.000000-0800,0.0
cec23_793,2035-01-01T16:00:00.000000-0800,0.0
cec23_793,2035-01-01T17:00:00.000000-0800,0.0
cec23_793,2035-01-01T18:00:00.000000-0800,0.0
cec23_793,2035-01-01T19:00:00.000000-0800,0.0
cec23_793,2035-01-01T20:00:00.000000-0800,0.0
cec23_793,2035-01-01T21:00:00.000000-0800,0.0
cec23_793,2035-01-01T22:00:00.000000-0800,0.0
cec23_793,2035-01-01T23:00:00.000000-0800,0.0
cec23_794,2035-01-01T00:00:00.000000-0800,0.0
cec23_794,2035-01-01T01:00:00.000000-0800,0.0
cec23_794,2035-01-01T02:00:00.000000-0800,0.0
cec23_794,2035-01-01T03:00:00.000000-0800,0.0
cec23_794,2035-01-01T04:00:00.000000-0800,0.0
cec23_794,2035-01-01T05:00:00.000000-0800,0.0
cec23_794,2035-01-01T06:00:00.000000-0800,0.0
cec23_794,2035-01-01T07:00:00.000000-0800,0.0
cec23_794,2035-01-01T08:00:00.000000-0800,6.617444900424222e-24
cec23_794,2035-01-01T09:00:00.000000-0800,0.0
cec23_794,2035-01-01T10:00:00.000000-0800,0.0
cec23_794,2035-01-01T11:00:00.000000-0800,0.0
cec23_794,2035-01-01T12:00:00.000000-0800,0.0
cec23_794,2035-01-01T13:00:00.000000-0800,0.0
cec23_794,2035-01-01T14:00:00.000000-0800,0.0
cec23_794,2035-01-01T15:00:00.000000-0800,0.0
cec23_794,2035-01-01T16:00:00.000000-0800,0.0
cec23_794,2035-01-01T17:00:00.000000-0800,-3.3881317890172014e-21
cec23_794,2035-01-01T18:00:00.000000-0800,0.0
cec23_794,2035-01-01T19:00:00.000000-0800,0.0
cec23_794,2035-01-01T20:00:00.000000-0800,0.0
cec23_794,2035-01-01T21:00:00.000000-0800,0.0
cec23_794,2035-01-01T22:00:00.000000-0800,0.0
