generator,scenario,Capacity_MW
683,sc1,48.0
684,sc1,40.5
685,sc1,1.0
686,sc1,1.0
687,sc1,1.0
688,sc1,23.0
689,sc1,5.5
690,sc1,23.5
691,sc1,7.3
692,sc1,23.5
693,sc1,7.6
694,sc1,38.9
695,sc1,4.2
696,sc1,5.3
697,sc1,1.5
698,sc1,1.5
699,sc1,1.0
700,sc1,0.4
701,sc1,1.4
702,sc1,4.0
703,sc1,5.0
704,sc1,14.5
705,sc1,14.5
706,sc1,14.0
707,sc1,6.0
708,sc1,6.0
709,sc1,3.5
710,sc1,3.5
711,sc1,3.5
712,sc1,3.4
713,sc1,3.4
714,sc1,3.4
715,sc1,3.4
716,sc1,3.4
717,sc1,3.4
718,sc1,3.1
719,sc1,3.1
720,sc1,3.1
721,sc1,3.1
722,sc1,3.4
723,sc1,3.4
724,sc1,3.4
725,sc1,3.4
726,sc1,21.4
727,sc1,21.4
728,sc1,3.0
729,sc1,3.0
730,sc1,3.0
731,sc1,3.0
732,sc1,3.0
733,sc1,1.0
734,sc1,3.1
735,sc1,3.1
736,sc1,3.1
737,sc1,3.1
738,sc1,24.4
739,sc1,24.4
740,sc1,62.6
741,sc1,62.6
742,sc1,30.4
743,sc1,29.0
744,sc1,23.5
745,sc1,22.5
746,sc1,9.2
747,sc1,10.0
748,sc1,10.0
749,sc1,22.0
750,sc1,18.4
751,sc1,14.1
752,sc1,21.2
753,sc1,1.8
754,sc1,49.0
755,sc1,6.8
756,sc1,3.9
757,sc1,1.1
758,sc1,21.6
759,sc1,54.0
760,sc1,0.3
761,sc1,0.6
762,sc1,0.6
763,sc1,1.0
764,sc1,7.5
765,sc1,3.0
766,sc1,4.5
767,sc1,0.1
768,sc1,1.3
769,sc1,0.8
770,sc1,0.8
771,sc1,20.1
772,sc1,27.7
773,sc1,5.0
774,sc1,3.0
775,sc1,3.0
776,sc1,10.0
777,sc1,58.5
778,sc1,15.5
779,sc1,49.5
780,sc1,2.7
781,sc1,2.7
782,sc1,0.5
783,sc1,0.6
784,sc1,0.6
785,sc1,0.6
786,sc1,0.6
787,sc1,0.4
788,sc1,28.7
789,sc1,9.1
790,sc1,9.6
791,sc1,4.9
792,sc1,7.3
793,sc1,5.5
794,sc1,11.7
795,sc1,27.1
796,sc1,52.0
797,sc1,7.0
798,sc1,3.5
799,sc1,19.0
800,sc1,41.2
801,sc1,10.2
802,sc1,6.5
803,sc1,8.3
804,sc1,13.6
805,sc1,40.0
806,sc1,40.0
807,sc1,20.0
808,sc1,46.8
809,sc1,2.6
810,sc1,0.6
811,sc1,0.6
812,sc1,0.6
813,sc1,47.5
814,sc1,247.4
815,sc1,1.6
816,sc1,1.6
817,sc1,1.6
818,sc1,1.6
819,sc1,212.0
820,sc1,212.0
821,sc1,212.0
822,sc1,300.0
823,sc1,300.0
824,sc1,300.0
825,sc1,300.0
826,sc1,3.0
827,sc1,270.0
828,sc1,167.7
829,sc1,167.7
830,sc1,3.0
831,sc1,3.2
832,sc1,198.9
833,sc1,198.9
834,sc1,280.5
835,sc1,182.0
836,sc1,182.0
837,sc1,227.0
838,sc1,198.9
839,sc1,198.9
840,sc1,290.7
841,sc1,200.0
842,sc1,200.0
843,sc1,235.0
844,sc1,16.5
845,sc1,199.0
846,sc1,199.0
847,sc1,225.0
848,sc1,60.5
849,sc1,60.5
850,sc1,60.5
851,sc1,58.9
852,sc1,173.0
853,sc1,173.0
854,sc1,173.0
855,sc1,333.0
856,sc1,49.9
857,sc1,44.0
858,sc1,49.9
859,sc1,49.9
860,sc1,49.9
861,sc1,49.9
862,sc1,49.9
863,sc1,31.9
864,sc1,0.9
865,sc1,0.9
866,sc1,0.9
867,sc1,0.9
868,sc1,3.0
869,sc1,47.0
870,sc1,47.0
871,sc1,47.0
872,sc1,168.0
873,sc1,168.0
874,sc1,168.0
875,sc1,185.0
876,sc1,90.0
877,sc1,46.1
878,sc1,46.1
879,sc1,22.2
880,sc1,42.6
881,sc1,126.1
882,sc1,45.0
883,sc1,45.0
884,sc1,45.0
885,sc1,45.0
886,sc1,49.0
887,sc1,49.0
888,sc1,45.0
889,sc1,45.0
890,sc1,45.0
891,sc1,51.0
892,sc1,47.0
893,sc1,49.9
894,sc1,167.3
895,sc1,84.4
896,sc1,84.4
897,sc1,11.2
898,sc1,11.2
899,sc1,11.2
900,sc1,11.2
901,sc1,11.2
902,sc1,11.2
903,sc1,11.2
904,sc1,11.2
905,sc1,60.5
906,sc1,47.0
907,sc1,58.3
908,sc1,11.5
909,sc1,165.0
910,sc1,165.0
911,sc1,229.0
912,sc1,41.0
913,sc1,61.5
914,sc1,50.0
915,sc1,50.0
916,sc1,54.0
917,sc1,5.9
918,sc1,5.9
919,sc1,40.0
920,sc1,40.0
921,sc1,50.0
922,sc1,198.9
923,sc1,188.7
924,sc1,57.4
925,sc1,145.8
926,sc1,16.2
927,sc1,94.9
928,sc1,94.9
929,sc1,110.8
930,sc1,2.8
931,sc1,2.8
932,sc1,2.8
933,sc1,4.0
934,sc1,3.7
935,sc1,0.3
936,sc1,22.4
937,sc1,1.0
938,sc1,1.0
939,sc1,1.0
940,sc1,1.0
941,sc1,50.0
942,sc1,50.0
943,sc1,48.0
944,sc1,48.0
945,sc1,10.0
946,sc1,10.0
947,sc1,10.0
948,sc1,10.0
949,sc1,2.9
950,sc1,2.9
951,sc1,2.9
952,sc1,2.9
953,sc1,2.9
954,sc1,2.9
955,sc1,2.9
956,sc1,2.9
957,sc1,2.9
958,sc1,2.9
959,sc1,2.9
960,sc1,2.9
961,sc1,2.9
962,sc1,2.9
963,sc1,2.9
964,sc1,2.9
965,sc1,53.0
966,sc1,53.0
967,sc1,60.5
968,sc1,60.5
969,sc1,18.0
970,sc1,2.4
971,sc1,1.6
972,sc1,5.5
973,sc1,50.0
974,sc1,59.0
975,sc1,1.2
976,sc1,1.2
977,sc1,1.2
978,sc1,1.2
979,sc1,1.2
980,sc1,1.2
981,sc1,1.2
982,sc1,41.0
983,sc1,8.0
984,sc1,150.0
985,sc1,1.0
986,sc1,1.0
987,sc1,1.0
988,sc1,38.0
989,sc1,200.0
990,sc1,200.0
991,sc1,255.0
992,sc1,13.4
993,sc1,49.8
994,sc1,49.8
995,sc1,10.0
996,sc1,49.8
997,sc1,49.8
998,sc1,49.8
999,sc1,10.0
1000,sc1,203.2
1001,sc1,203.2
1002,sc1,213.3
1003,sc1,181.5
1004,sc1,181.5
1005,sc1,349.4
1006,sc1,60.5
1007,sc1,60.5
1008,sc1,7.4
1009,sc1,4.6
1010,sc1,69.9
1011,sc1,69.9
1012,sc1,101.2
1013,sc1,12.5
1014,sc1,6.4646087
1015,sc1,45.0
1016,sc1,108.0
1017,sc1,108.0
1018,sc1,108.0
1019,sc1,108.0
1020,sc1,0.64646087
1021,sc1,0.64646087
1022,sc1,16.0
1023,sc1,16.0
1024,sc1,16.0
1025,sc1,16.0
1026,sc1,16.0
1027,sc1,0.387876522
1028,sc1,0.387876522
1029,sc1,0.387876522
1030,sc1,0.387876522
1031,sc1,1.29292174
1032,sc1,1.9
1033,sc1,1.9
1034,sc1,1.9
1035,sc1,1.9
1036,sc1,1.9
1037,sc1,1.9
1038,sc1,1.9
1039,sc1,1.9
1040,sc1,4.6
1041,sc1,4.6
1042,sc1,0.387876522
1043,sc1,0.387876522
1044,sc1,0.387876522
1045,sc1,0.387876522
1046,sc1,59.0
1047,sc1,59.0
1048,sc1,27.1513565
1049,sc1,0.64646087
1050,sc1,0.64646087
1051,sc1,1.29292174
1052,sc1,1.29292174
1053,sc1,1.29292174
1054,sc1,1.29292174
1055,sc1,1.29292174
1056,sc1,1.29292174
1057,sc1,1.29292174
1058,sc1,1.29292174
1059,sc1,50.0
1060,sc1,50.0
1061,sc1,50.0
1062,sc1,50.0
1063,sc1,2.58584348
1064,sc1,1.4
1065,sc1,0.2
1066,sc1,1.4
1067,sc1,1.1
1068,sc1,1.1
1069,sc1,13.5
1070,sc1,5.5
1071,sc1,1.9
1072,sc1,1.6
1073,sc1,18.1
1074,sc1,4.6
1075,sc1,4.6
1076,sc1,0.64646087
1077,sc1,0.64646087
1078,sc1,0.64646087
1079,sc1,0.64646087
1080,sc1,0.64646087
1081,sc1,0.64646087
1082,sc1,0.64646087
1083,sc1,0.64646087
1084,sc1,0.64646087
1085,sc1,0.64646087
1086,sc1,0.64646087
1087,sc1,0.64646087
1088,sc1,0.64646087
1089,sc1,0.64646087
1090,sc1,0.64646087
1091,sc1,0.64646087
1092,sc1,0.64646087
1093,sc1,0.64646087
1094,sc1,0.64646087
1095,sc1,0.64646087
1096,sc1,0.64646087
1097,sc1,0.64646087
1098,sc1,0.64646087
1099,sc1,0.64646087
1100,sc1,0.64646087
1101,sc1,0.64646087
1102,sc1,0.64646087
1103,sc1,0.64646087
1104,sc1,0.64646087
1105,sc1,0.64646087
1106,sc1,0.64646087
1107,sc1,0.64646087
1108,sc1,0.64646087
1109,sc1,0.64646087
1110,sc1,0.64646087
1111,sc1,0.64646087
1112,sc1,0.64646087
1113,sc1,0.64646087
1114,sc1,0.64646087
1115,sc1,0.64646087
1116,sc1,0.64646087
1117,sc1,0.64646087
1118,sc1,0.64646087
1119,sc1,0.64646087
1120,sc1,0.64646087
1121,sc1,0.64646087
1122,sc1,0.64646087
1123,sc1,0.64646087
1124,sc1,0.64646087
1125,sc1,0.64646087
1126,sc1,0.64646087
1127,sc1,0.64646087
1128,sc1,0.64646087
1129,sc1,0.64646087
1130,sc1,0.64646087
1131,sc1,0.64646087
1132,sc1,0.64646087
1133,sc1,0.64646087
1134,sc1,0.64646087
1135,sc1,0.64646087
1136,sc1,0.64646087
1137,sc1,0.64646087
1138,sc1,0.64646087
1139,sc1,0.64646087
1140,sc1,0.64646087
1141,sc1,0.64646087
1142,sc1,0.64646087
1143,sc1,0.64646087
1144,sc1,0.64646087
1145,sc1,0.64646087
1146,sc1,0.64646087
1147,sc1,0.64646087
1148,sc1,0.64646087
