timepoint,site,capacity_factor,technology,scenario
2035-01-01T00:00:00.000000-0800,pvu149,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu150,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu151,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu152,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu153,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu154,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu155,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu156,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu157,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu158,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu159,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu160,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu161,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu162,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu163,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu164,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu165,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu166,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu167,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu168,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu169,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu170,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu171,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu172,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu173,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu174,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu175,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu176,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu177,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu178,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu179,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu180,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu181,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu182,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu183,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu184,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu185,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu186,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu187,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu188,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu189,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu190,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu191,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu192,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu193,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu194,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu195,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu196,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu197,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu198,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu199,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu200,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu201,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu202,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu203,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu204,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu205,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu206,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu207,0,solar photovoltaic,sc1
